tableName,columnType,columnName,,,,,
fch_ips,StringType,profile,,,,ShortType,1
fch_ips,StringType,srcip,,,,StringType,34
fch_ips,StringType,dstip,,,,TimestampType,3
fch_ips,IntegerType,srcport,,,,fpx_event,261
fch_ips,StringType,icmpid,,,,IntegerType,14
fch_ips,IntegerType,dstport,,,,LongType,54
fch_ips,StringType,icmptype,,,,ShortType,30
fch_ips,StringType,icmpcode,,,,StringType,160
fch_ips,StringType,srcintf,,,,TimestampType,3
fch_ips,StringType,dstintf,,,,fpx_http,37
fch_ips,StringType,action,,,,IntegerType,9
fch_ips,ShortType,proto,,,,LongType,4
fch_ips,StringType,service,,,,ShortType,1
fch_ips,StringType,user,,,,StringType,20
fch_ips,StringType,group,,,,TimestampType,3
fch_ips,StringType,ref,,,,fpx_ips,65
fch_ips,LongType,count,,,,IntegerType,9
fch_ips,LongType,incidentserialno,,,,LongType,9
fch_ips,StringType,msg,,,,ShortType,2
fch_ips,StringType,attackcontext,,,,StringType,42
fch_ips,StringType,attackcontextid,,,,TimestampType,3
fch_ips,StringType,profiletype,,,,fpx_ssh,42
fch_ips,StringType,attack,,,,IntegerType,9
fch_ips,StringType,direction,,,,LongType,3
fch_ips,StringType,agent,,,,ShortType,1
fch_ips,StringType,eventtype,,,,StringType,26
fch_ips,LongType,crscore,,,,TimestampType,3
fch_ips,LongType,craction,,,,fpx_traffic,133
fch_ips,StringType,crlevel,,,,IntegerType,12
fch_netscan,LongType,id,,,,LongType,40
fch_netscan,IntegerType,bid,,,,ShortType,1
fch_netscan,StringType,devid,,,,StringType,77
fch_netscan,TimestampType,itime,,,,TimestampType,3
fch_netscan,TimestampType,dtime,,,,fpx_virus,64
fch_netscan,IntegerType,euid,,,,IntegerType,9
fch_netscan,IntegerType,epid,,,,LongType,6
fch_netscan,IntegerType,dsteuid,,,,ShortType,1
fch_netscan,IntegerType,dstepid,,,,StringType,45
fch_netscan,IntegerType,logflag,,,,TimestampType,3
fch_netscan,IntegerType,logver,,,,fpx_voip,56
fch_netscan,LongType,sfsid,,,,IntegerType,11
fch_netscan,StringType,vd,,,,LongType,9
fch_netscan,StringType,logid,,,,ShortType,1
fch_netscan,StringType,type,,,,StringType,32
fch_netscan,StringType,subtype,,,,TimestampType,3
fch_netscan,StringType,level,,,,fpx_waf,47
fch_netscan,StringType,action,,,,IntegerType,9
fch_netscan,LongType,start,,,,LongType,5
fch_netscan,LongType,end,,,,ShortType,1
fch_netscan,StringType,engine,,,,StringType,29
fch_netscan,StringType,plugin,,,,TimestampType,3
fch_netscan,StringType,dstip,,,,fpx_webfilter,75
fch_netscan,StringType,proto,,,,IntegerType,9
fch_netscan,IntegerType,dstport,,,,LongType,11
fch_netscan,StringType,vuln,,,,ShortType,2
fch_netscan,StringType,vulncat,,,,StringType,50
fch_netscan,LongType,vulnid,,,,TimestampType,3
fch_netscan,StringType,vulnref,,,,fsa_event,95
fch_netscan,StringType,severity,,,,IntegerType,11
fch_netscan,StringType,os,,,,LongType,10
fch_netscan,StringType,osfamily,,,,ShortType,2
fch_netscan,StringType,osgen,,,,StringType,70
fch_netscan,StringType,osvendor,,,,TimestampType,2
fch_netscan,StringType,service,,,,fsa_malware,37
fch_netscan,StringType,msg,,,,IntegerType,10
fch_netscan,LongType,vulncnt,,,,LongType,5
fch_netscan,StringType,status,,,,StringType,20
fch_netscan,StringType,method,,,,TimestampType,2
fch_netscan,LongType,assetid,,,,fsa_netalert,26
fch_netscan,StringType,assetname,,,,IntegerType,10
fch_netscan,StringType,vulnscore,,,,LongType,2
fch_netscan,StringType,agent,,,,StringType,12
fch_netscan,LongType,direction,,,,TimestampType,2
fch_netscan,StringType,dstintf,,,,fwb_attack,74
fch_netscan,StringType,dstname,,,,DoubleType,3
fch_netscan,StringType,group,,,,IntegerType,9
fch_netscan,LongType,policyid,,,,LongType,9
fch_netscan,StringType,profile,,,,StringType,51
fch_netscan,StringType,profilegroup,,,,TimestampType,2
fch_netscan,LongType,serial,,,,fwb_event,24
fch_netscan,StringType,srcip,,,,IntegerType,7
fch_netscan,IntegerType,srcport,,,,LongType,2
fch_netscan,StringType,srcintf,,,,StringType,13
fch_netscan,StringType,srcname,,,,TimestampType,2
fch_netscan,StringType,user,,,,fwb_traffic,49
fch_netscan,StringType,eventtype,,,,IntegerType,12
fch_spam,LongType,id,,,,LongType,5
fch_spam,IntegerType,bid,,,,StringType,30
fch_spam,StringType,devid,,,,TimestampType,2
fch_spam,TimestampType,itime,,,,sys_generic,17
fch_spam,TimestampType,dtime,,,,IntegerType,7
fch_spam,IntegerType,euid,,,,LongType,2
fch_spam,IntegerType,epid,,,,StringType,6
fch_spam,IntegerType,dsteuid,,,,TimestampType,2
fch_spam,IntegerType,dstepid,,,,(空白),
fch_spam,IntegerType,logflag,,,,(空白),
fch_spam,IntegerType,logver,,,,总计,4597
fch_spam,LongType,sfsid,,,,,
fch_spam,StringType,vd,,,,,
fch_spam,StringType,logid,,,,,
fch_spam,StringType,type,,,,,
fch_spam,StringType,subtype,,,,,
fch_spam,StringType,level,,,,,
fch_spam,LongType,sessionid,,,,,
fch_spam,StringType,user,,,,,
fch_spam,StringType,group,,,,,
fch_spam,StringType,srcip,,,,,
fch_spam,IntegerType,srcport,,,,,
fch_spam,StringType,srcintf,,,,,
fch_spam,StringType,dstip,,,,,
fch_spam,IntegerType,dstport,,,,,
fch_spam,StringType,dstintf,,,,,
fch_spam,StringType,service,,,,,
fch_spam,StringType,profile,,,,,
fch_spam,StringType,action,,,,,
fch_spam,StringType,from,,,,,
fch_spam,StringType,to,,,,,
fch_spam,StringType,sender,,,,,
fch_spam,StringType,recipient,,,,,
fch_spam,StringType,banword,,,,,
fch_spam,StringType,direction,,,,,
fch_spam,StringType,agent,,,,,
fch_spam,StringType,msg,,,,,
fch_spam,StringType,subject,,,,,
fch_spam,StringType,size,,,,,
fch_spam,StringType,attachment,,,,,
fch_spam,LongType,sentbyte,,,,,
fch_spam,LongType,rcvdbyte,,,,,
fch_spam,StringType,cc,,,,,
fch_spam,ShortType,proto,,,,,
fch_spam,StringType,eventtype,,,,,
fch_traffic,LongType,id,,,,,
fch_traffic,IntegerType,bid,,,,,
fch_traffic,StringType,devid,,,,,
fch_traffic,TimestampType,itime,,,,,
fch_traffic,TimestampType,dtime,,,,,
fch_traffic,IntegerType,euid,,,,,
fch_traffic,IntegerType,epid,,,,,
fch_traffic,IntegerType,dsteuid,,,,,
fch_traffic,IntegerType,dstepid,,,,,
fch_traffic,IntegerType,logflag,,,,,
fch_traffic,IntegerType,logver,,,,,
fch_traffic,LongType,sfsid,,,,,
fch_traffic,StringType,vd,,,,,
fch_traffic,StringType,logid,,,,,
fch_traffic,StringType,type,,,,,
fch_traffic,StringType,subtype,,,,,
fch_traffic,StringType,level,,,,,
fch_traffic,StringType,action,,,,,
fch_traffic,StringType,trandisp,,,,,
fch_traffic,StringType,srcip,,,,,
fch_traffic,StringType,srcname,,,,,
fch_traffic,IntegerType,srcport,,,,,
fch_traffic,StringType,dstip,,,,,
fch_traffic,StringType,dstname,,,,,
fch_traffic,IntegerType,dstport,,,,,
fch_traffic,StringType,tranip,,,,,
fch_traffic,IntegerType,tranport,,,,,
fch_traffic,StringType,service,,,,,
fch_traffic,ShortType,proto,,,,,
fch_traffic,LongType,duration,,,,,
fch_traffic,LongType,policyid,,,,,
fch_traffic,LongType,sentbyte,,,,,
fch_traffic,LongType,rcvdbyte,,,,,
fch_traffic,LongType,sentpkt,,,,,
fch_traffic,LongType,rcvdpkt,,,,,
fch_traffic,StringType,vpn,,,,,
fch_traffic,StringType,srcintf,,,,,
fch_traffic,StringType,dstintf,,,,,
fch_traffic,LongType,sessionid,,,,,
fch_traffic,StringType,user,,,,,
fch_traffic,StringType,group,,,,,
fch_traffic,StringType,custom_field1,,,,,
fch_traffic,StringType,wanoptapptype,,,,,
fch_traffic,LongType,wanin,,,,,
fch_traffic,LongType,wanout,,,,,
fch_traffic,LongType,lanin,,,,,
fch_traffic,LongType,lanout,,,,,
fch_traffic,StringType,app,,,,,
fch_traffic,StringType,appcat,,,,,
fch_traffic,LongType,shaperdropsentbyte,,,,,
fch_traffic,LongType,shaperdroprcvdbyte,,,,,
fch_traffic,LongType,shaperperipdropbyte,,,,,
fch_traffic,StringType,shapersentname,,,,,
fch_traffic,StringType,shaperrcvdname,,,,,
fch_traffic,StringType,shaperperipname,,,,,
fch_traffic,StringType,transip,,,,,
fch_traffic,IntegerType,transport,,,,,
fch_traffic,StringType,dstcountry,,,,,
fch_traffic,StringType,vpntype,,,,,
fch_traffic,StringType,applist,,,,,
fch_traffic,StringType,appact,,,,,
fch_traffic,StringType,devtype,,,,,
fch_traffic,StringType,osname,,,,,
fch_traffic,StringType,osversion,,,,,
fch_traffic,StringType,unauthuser,,,,,
fch_traffic,StringType,unauthusersource,,,,,
fch_traffic,StringType,mastersrcmac,,,,,
fch_traffic,StringType,srcmac,,,,,
fch_traffic,StringType,collectedemail,,,,,
fch_traffic,LongType,appid,,,,,
fch_traffic,StringType,srccountry,,,,,
fch_traffic,StringType,msg,,,,,
fch_traffic,StringType,utmaction,,,,,
fch_traffic,LongType,crscore,,,,,
fch_traffic,LongType,craction,,,,,
fch_traffic,StringType,crlevel,,,,,
fch_traffic,StringType,srcssid,,,,,
fch_traffic,StringType,dstssid,,,,,
fch_traffic,StringType,srcuuid,,,,,
fch_traffic,StringType,dstuuid,,,,,
fch_traffic,StringType,poluuid,,,,,
fch_traffic,StringType,apprisk,,,,,
fch_traffic,LongType,countapp,,,,,
fch_traffic,LongType,countav,,,,,
fch_traffic,LongType,countdlp,,,,,
fch_traffic,LongType,countemail,,,,,
fch_traffic,LongType,countips,,,,,
fch_traffic,LongType,countweb,,,,,
fch_traffic,StringType,hostname,,,,,
fch_traffic,StringType,url,,,,,
fch_traffic,StringType,scheme,,,,,
fch_traffic,LongType,reqlength,,,,,
fch_traffic,LongType,resplength,,,,,
fch_traffic,StringType,resptype,,,,,
fch_traffic,IntegerType,statuscode,,,,,
fch_traffic,LongType,reqtime,,,,,
fch_traffic,LongType,resptime,,,,,
fch_traffic,LongType,respfinishtime,,,,,
fch_virus,LongType,id,,,,,
fch_virus,IntegerType,bid,,,,,
fch_virus,StringType,devid,,,,,
fch_virus,TimestampType,itime,,,,,
fch_virus,TimestampType,dtime,,,,,
fch_virus,IntegerType,euid,,,,,
fch_virus,IntegerType,epid,,,,,
fch_virus,IntegerType,dsteuid,,,,,
fch_virus,IntegerType,dstepid,,,,,
fch_virus,IntegerType,logflag,,,,,
fch_virus,IntegerType,logver,,,,,
fch_virus,LongType,sfsid,,,,,
fch_virus,StringType,vd,,,,,
fch_virus,StringType,logid,,,,,
fch_virus,StringType,type,,,,,
fch_virus,StringType,subtype,,,,,
fch_virus,StringType,level,,,,,
fch_virus,StringType,msg,,,,,
fch_virus,StringType,action,,,,,
fch_virus,StringType,service,,,,,
fch_virus,StringType,srcip,,,,,
fch_virus,StringType,dstip,,,,,
fch_virus,IntegerType,srcport,,,,,
fch_virus,IntegerType,dstport,,,,,
fch_virus,StringType,srcintf,,,,,
fch_virus,StringType,dstintf,,,,,
fch_virus,LongType,sessionid,,,,,
fch_virus,StringType,direction,,,,,
fch_virus,StringType,filefilter,,,,,
fch_virus,StringType,filetype,,,,,
fch_virus,StringType,filename,,,,,
fch_virus,StringType,checksum,,,,,
fch_virus,StringType,quarskip,,,,,
fch_virus,StringType,virus,,,,,
fch_virus,StringType,ref,,,,,
fch_virus,StringType,url,,,,,
fch_virus,StringType,profile,,,,,
fch_virus,StringType,user,,,,,
fch_virus,StringType,group,,,,,
fch_virus,StringType,agent,,,,,
fch_virus,StringType,from,,,,,
fch_virus,StringType,to,,,,,
fch_virus,StringType,sender,,,,,
fch_virus,StringType,recipient,,,,,
fch_virus,StringType,command,,,,,
fch_virus,StringType,dtype,,,,,
fch_virus,ShortType,proto,,,,,
fch_virus,StringType,switchproto,,,,,
fch_virus,StringType,eventtype,,,,,
fch_virus,StringType,analyticscksum,,,,,
fch_virus,StringType,analyticssubmit,,,,,
fch_virus,LongType,virusid,,,,,
fch_virus,LongType,crscore,,,,,
fch_virus,StringType,crlevel,,,,,
fch_voip,LongType,id,,,,,
fch_voip,IntegerType,bid,,,,,
fch_voip,StringType,devid,,,,,
fch_voip,TimestampType,itime,,,,,
fch_voip,TimestampType,dtime,,,,,
fch_voip,IntegerType,euid,,,,,
fch_voip,IntegerType,epid,,,,,
fch_voip,IntegerType,dsteuid,,,,,
fch_voip,IntegerType,dstepid,,,,,
fch_voip,IntegerType,logflag,,,,,
fch_voip,IntegerType,logver,,,,,
fch_voip,StringType,vd,,,,,
fch_voip,StringType,logid,,,,,
fch_voip,StringType,type,,,,,
fch_voip,StringType,subtype,,,,,
fch_voip,StringType,level,,,,,
fch_voip,LongType,session_id,,,,,
fch_voip,LongType,epoch,,,,,
